    Cell_ID,Mass_with tube,Mass,dilution_factor_649,dilution_factor_665,ABS_649,ABS_649_Dilution,ABS_665,ABS_665_dilution,Chl_a,Chl_b,g_per_ml_leaf,Chl_a_mg,Chl_b_mg,total_chl
MFC_1,1.59,0.04,2,2,0.346,0.692,0.693,1.386,14.57374,7.1268,0.026666667,0.54651525,0.267255,0.81377025
MFC_2,1.59,0.04,2,2,0.331,0.662,0.669,1.338,14.11054,6.72936,0.026666667,0.52914525,0.252351,0.78149625
MFC_3,1.57,0.02,2,2,0.234,0.468,0.469,0.938,9.86526,4.81512,0.013333333,0.7398945,0.361134,1.1010285
MFC_4,1.56,0.01,2,2,0.251,0.502,0.519,1.038,11.02634,4.93176,0.006666667,1.653951,0.739764,2.393715
EV_1,1.6,0.05,2,2,0.409,0.818,0.859,1.718,18.33826,7.84152,0.033333333,0.5501478,0.2352456,0.7853934
EV_2,1.6,0.05,2,4,0.72,1.44,0.783,3.132,33.7842,13.01616,0.033333333,1.013526,0.3904848,1.4040108
EV_3,1.62,0.07,2,4,0.697,1.394,0.714,2.856,30.25048,13.88832,0.046666667,0.648224571,0.297606857,0.945831429
EV_4,1.58,0.03,1,1,0.244,0.244,0.416,0.416,4.12448,3.04512,0.02,0.206224,0.152256,0.35848
EC_1,1.6,0.05,2,2,0.364,0.728,0.791,1.582,17.06026,6.59064,0.033333333,0.5118078,0.1977192,0.709527
EC_2,1.59,0.04,2,2,0.457,0.914,0.968,1.936,20.71888,8.64192,0.026666667,0.776958,0.324072,1.10103
EC_3,1.61,0.06,2,2,0.321,0.642,0.709,1.418,15.36414,5.64456,0.04,0.3841035,0.141114,0.5252175
EC_4,1.59,0.04,1,1,0.076,0.076,0.093,0.093,0.77447,1.2162,0.026666667,0.029042625,0.0456075,0.074650125
C_1,1.58,0.03,1,1,0.24,0.24,0.446,0.446,4.5705,2.72568,0.02,0.228525,0.136284,0.364809
C_2,1.6,0.05,2,2,0.477,0.954,0.898,1.796,18.49068,10.66512,0.033333333,0.5547204,0.3199536,0.874674
C_3,1.59,0.04,4,4,0.291,1.164,0.6,2.4,25.47168,11.48544,0.026666667,0.955188,0.430704,1.385892
C_4,1.58,0.03,1,1,0.169,0.169,0.264,0.264,2.52008,2.28576,0.02,0.126004,0.114288,0.240292