ID,Wet_Mass,Height,Root_Length,total_dry_mass,roots_dry_mass,aerial_dry_mass
T_1,1.11,42.892,10.319,0.62,0.31,0.31
T_2,2.34,45.713,11.05,0.57,0.29,0.28
T_3,3.93,41.701,10.75,1.19,0.54,0.65
T_4,2.54,36.786,13.781,0.85,0.57,0.28
T_5,1.38,39.133,10.85,0.35,0.11,0.24
T_6,1.71,45.498,10.137,0.1,0.02,0.08
T_7,0.77,38.914,7.72,0.31,0.11,0.2
T_8,1.61,36.096,9.454,0.33,0.09,0.24
T_9,3.52,43.911,14.143,0.39,0.14,0.25
T_10,3.61,45.643,12.758,0.36,0.14,0.22
T_11,1.77,39.908,10.02,0.84,0.55,0.29
4_N,1.55,32.416,12.513,0.64,0.36,0.28
10_N,0.79,39.053,7.349,0.51,0.33,0.18
5_N,1.52,40.326,7.856,0.25,0.13,0.12
2_N,1.72,40.391,13.123,0.32,0.18,0.14
3_N,3.96,41.867,14.085,0.61,0.32,0.29
7_N,2.21,41.966,10.984,0.64,0.41,0.23
11_N,2.25,42.045,7.547,0.38,0.22,0.16
8_N,2.15,43.602,11.544,0.4,0.23,0.17
9_N,2.02,44.131,13.337,0.31,0.16,0.15
12_N,2,44.955,8.085,0.4,0.28,0.12
6_N,3.05,44.955,13.908,0.11,0.08,0.03
1_N,2.47,44.96,15.6,0.43,0.25,0.18